Registration Date,Quantity Industry Registration,Sales Type,Manufacturer Description,Month
2021-02-01,101, ,VOLVO                              ,2
2021-02-01,4, ,DODGE                              ,2
2021-02-01,19, ,KIA                                ,2
2021-02-01,451, ,JEEP,2
2021-02-01,14, ,LAND ROVER                         ,2
2021-02-01,2, ,TROLLER,2
2021-02-01,1738, ,FIAT                               ,2
2021-02-01,3, ,JAC,2
2021-02-01,1, ,BUGRE,2
2021-02-01,394, ,NISSAN                             ,2
2021-02-01,14, ,SCANIA                             ,2
2021-02-01,11, ,PORSCHE                            ,2
2021-02-01,300, ,HONDA                              ,2
2021-02-01,21, ,BMW                             ,2
2021-02-01,2, ,FOTON,2
2021-02-01,1, ,TESLA MOTORS,2
2021-02-01,165, ,MERCEDES-BENZ                      ,2
2021-02-01,39, ,CITROEN                            ,2
2021-02-01,29, ,AUDI                               ,2
2021-02-01,37, ,MITSUBISHI                         ,2
2021-02-01,1, ,FERCAR,2
2021-02-01,188, ,FORD,2
2021-02-01,350, ,RENAULT                            ,2
2021-02-01,1143, ,GENERAL MOTORS                     ,2
2021-02-01,59, ,CHERY,2
2021-02-01,32, ,PEUGEOT                            ,2
2021-02-01,12, ,MARCOPOLO,2
2021-02-01,1363, ,VOLKSWAGEN                         ,2
2021-02-01,4, ,OTHERS,2
2021-02-01,30, ,IVECO                              ,2
2021-02-01,1, ,JAGUAR                             ,2
2021-02-01,394, ,TOYOTA                             ,2
2021-02-01,6, ,SUZUKI                             ,2
2021-02-01,3, ,MINI,2
2021-02-01,653, ,HYUNDAI                            ,2
2021-02-01,17, ,DAF,2
2021-02-01,3, ,EFFA MOTORS,2
2021-02-02,615, ,JEEP,2
2021-02-02,89, ,VOLVO                              ,2
2021-02-02,1525, ,VOLKSWAGEN                         ,2
2021-02-02,35, ,MITSUBISHI                         ,2
2021-02-02,5, ,JAC,2
2021-02-02,2, ,TROLLER,2
2021-02-02,19, ,LAND ROVER                         ,2
2021-02-02,7, ,SUZUKI                             ,2
2021-02-02,1244, ,GENERAL MOTORS                     ,2
2021-02-02,2, ,LEXUS,2
2021-02-02,39, ,IVECO                              ,2
2021-02-02,2, ,JAGUAR                             ,2
2021-02-02,1329, ,FIAT                               ,2
