Registration Date;Quantity Industry Registration;Sales Type;Manufacturer Description
2005-01-03 00:00:00;14;;VOLVO                              
2005-01-03 00:00:00;6;;LAND ROVER                         
2005-01-03 00:00:00;85;;HONDA                              
2005-01-03 00:00:00;35;;CITROEN                            
2005-01-03 00:00:00;81;;PEUGEOT                            
2005-01-03 00:00:00;57;;MITSUBISHI                         
2005-01-03 00:00:00;812;;FIAT                               
2005-01-03 00:00:00;13;;SCANIA                             
2005-01-03 00:00:00;3;;AGRALE                             
2005-01-03 00:00:00;3;;BMW                             
2005-01-03 00:00:00;3;;MARCOPOLO
2005-01-03 00:00:00;3;;TROLLER
2005-01-03 00:00:00;74;;RENAULT                            
2005-01-03 00:00:00;8;;IVECO                              
2005-01-03 00:00:00;1;;FERRARI                            
2005-01-03 00:00:00;13;;KIA                                
2005-01-03 00:00:00;66;;MERCEDES-BENZ                      
2005-01-03 00:00:00;237;;GENERAL MOTORS                     
2005-01-03 00:00:00;449;;FORD
2005-01-03 00:00:00;68;;TOYOTA                             
2005-01-03 00:00:00;7;;AUDI                               
2005-01-03 00:00:00;831;;VOLKSWAGEN                         
2005-01-03 00:00:00;23;;NISSAN                             
2005-01-03 00:00:00;1;;OTHERS
2005-01-04 00:00:00;177;;TOYOTA                             
2005-01-04 00:00:00;365;;GENERAL MOTORS                     
2005-01-04 00:00:00;1;;PORSCHE                            
2005-01-04 00:00:00;40;;NISSAN                             
2005-01-04 00:00:00;15;;KIA                                
2005-01-04 00:00:00;1;;BRM
2005-01-04 00:00:00;82;;MITSUBISHI                         
2005-01-04 00:00:00;5;;LAND ROVER                         
2005-01-04 00:00:00;27;;SCANIA                             
2005-01-04 00:00:00;1;;HYUNDAI                            
2005-01-04 00:00:00;724;;FORD
2005-01-04 00:00:00;3;;TROLLER
2005-01-04 00:00:00;1333;;VOLKSWAGEN                         
2005-01-04 00:00:00;188;;HONDA                              
2005-01-04 00:00:00;3;;AGRALE                             
2005-01-04 00:00:00;12;;MARCOPOLO
2005-01-04 00:00:00;1210;;FIAT                               
2005-01-04 00:00:00;145;;PEUGEOT                            
2005-01-04 00:00:00;1;;FYBER
